cellLine,drug,doseID,concentration,viability,study
KNS-81-FD,lapatinib,doses1,0.0078125,97.3179353513439,GDSC
KNS-81-FD,lapatinib,doses2,0.015625,91.0242796612908,GDSC
KNS-81-FD,lapatinib,doses3,0.03125,89.3081318148126,GDSC
KNS-81-FD,lapatinib,doses4,0.0625,101.656913009522,GDSC
KNS-81-FD,lapatinib,doses5,0.125,95.8339702483546,GDSC
KNS-81-FD,lapatinib,doses6,0.25,106.189654683848,GDSC
KNS-81-FD,lapatinib,doses7,0.5,96.7533470973926,GDSC
KNS-81-FD,lapatinib,doses8,1,108.179076608275,GDSC
KNS-81-FD,lapatinib,doses9,2,59.5489856173369,GDSC
KU812,lapatinib,doses1,0.0078125,99.4882833688479,GDSC
KU812,lapatinib,doses2,0.015625,95.9840628308505,GDSC
KU812,lapatinib,doses3,0.03125,99.4109199884617,GDSC
KU812,lapatinib,doses4,0.0625,98.2689586440185,GDSC
KU812,lapatinib,doses5,0.125,100.297760583749,GDSC
KU812,lapatinib,doses6,0.25,96.5768577057177,GDSC
KU812,lapatinib,doses7,0.5,96.3945590903002,GDSC
KU812,lapatinib,doses8,1,93.3689535114637,GDSC
KU812,lapatinib,doses9,2,98.5537596837632,GDSC
KURAMOCHI,lapatinib,doses1,0.0078125,107.413241293302,GDSC
KURAMOCHI,lapatinib,doses2,0.015625,105.649225386718,GDSC
KURAMOCHI,lapatinib,doses3,0.03125,97.6347456813883,GDSC
KURAMOCHI,lapatinib,doses4,0.0625,97.9445649308042,GDSC
KURAMOCHI,lapatinib,doses5,0.125,92.7599770408036,GDSC
KURAMOCHI,lapatinib,doses6,0.25,94.233362953285,GDSC
KURAMOCHI,lapatinib,doses7,0.5,97.9536362151339,GDSC
KURAMOCHI,lapatinib,doses8,1,94.6042389241511,GDSC
KURAMOCHI,lapatinib,doses9,2,84.4810345077066,GDSC
L-363,lapatinib,doses1,0.0078125,95.2325506485719,GDSC
L-363,lapatinib,doses2,0.015625,98.0723449685321,GDSC
L-363,lapatinib,doses3,0.03125,98.3135901183741,GDSC
L-363,lapatinib,doses4,0.0625,102.082067970269,GDSC
L-363,lapatinib,doses5,0.125,97.3323660799894,GDSC
L-363,lapatinib,doses6,0.25,103.802669288344,GDSC
L-363,lapatinib,doses7,0.5,104.490308206722,GDSC
L-363,lapatinib,doses8,1,107.336720224059,GDSC
L-363,lapatinib,doses9,2,103.17980358975,GDSC
L-428,lapatinib,doses1,0.0078125,103.887873198926,GDSC
L-428,lapatinib,doses2,0.015625,101.29110063527,GDSC
L-428,lapatinib,doses3,0.03125,107.118286850266,GDSC
L-428,lapatinib,doses4,0.0625,107.353248951769,GDSC
L-428,lapatinib,doses5,0.125,105.859831515921,GDSC
L-428,lapatinib,doses6,0.25,106.729485519515,GDSC
L-428,lapatinib,doses7,0.5,103.230273542752,GDSC
L-428,lapatinib,doses8,1,106.605699582319,GDSC
L-428,lapatinib,doses9,2,108.684840968872,GDSC
LP-1,lapatinib,doses1,0.0078125,111.066494381831,GDSC
LP-1,lapatinib,doses2,0.015625,105.949927584242,GDSC
LP-1,lapatinib,doses3,0.03125,103.951569902864,GDSC
LP-1,lapatinib,doses4,0.0625,111.643136120882,GDSC
LP-1,lapatinib,doses5,0.125,104.661695785488,GDSC
LP-1,lapatinib,doses6,0.25,108.137896197166,GDSC
LP-1,lapatinib,doses7,0.5,103.058909944569,GDSC
LP-1,lapatinib,doses8,1,101.500537475002,GDSC
LP-1,lapatinib,doses9,2,87.1045044187644,GDSC
LS-123,lapatinib,doses1,0.0078125,89.2603444516062,GDSC
LS-123,lapatinib,doses2,0.015625,81.2624381409186,GDSC
LS-123,lapatinib,doses3,0.03125,92.348901245433,GDSC
LS-123,lapatinib,doses4,0.0625,87.0783641744227,GDSC
LS-123,lapatinib,doses5,0.125,88.739572267186,GDSC
LS-123,lapatinib,doses6,0.25,92.2894814362897,GDSC
LS-123,lapatinib,doses7,0.5,83.9762257099346,GDSC
LS-123,lapatinib,doses8,1,79.7077612774051,GDSC
LS-123,lapatinib,doses9,2,72.6452925335164,GDSC
LS-513,lapatinib,doses1,0.0078125,96.86319406298,GDSC
LS-513,lapatinib,doses2,0.015625,94.6379886326693,GDSC
LS-513,lapatinib,doses3,0.03125,93.9181137405693,GDSC
LS-513,lapatinib,doses4,0.0625,89.5257166238804,GDSC
LS-513,lapatinib,doses5,0.125,88.5208176855039,GDSC
LS-513,lapatinib,doses6,0.25,81.5843917805455,GDSC
LS-513,lapatinib,doses7,0.5,75.3555653957826,GDSC
LS-513,lapatinib,doses8,1,80.0059134782462,GDSC
LS-513,lapatinib,doses9,2,82.1724325415065,GDSC
MC116,lapatinib,doses1,0.0078125,113.390582790885,GDSC
MC116,lapatinib,doses2,0.015625,108.03197501073,GDSC
MC116,lapatinib,doses3,0.03125,106.519346699085,GDSC
MC116,lapatinib,doses4,0.0625,101.984389431852,GDSC
MC116,lapatinib,doses5,0.125,104.015214926388,GDSC
MC116,lapatinib,doses6,0.25,109.036165031815,GDSC
MC116,lapatinib,doses7,0.5,115.883003892782,GDSC
MC116,lapatinib,doses8,1,125.479898613241,GDSC
MC116,lapatinib,doses9,2,121.148414251154,GDSC
MEG-01,lapatinib,doses1,0.0078125,102.971456148477,GDSC
MEG-01,lapatinib,doses2,0.015625,92.126898825098,GDSC
MEG-01,lapatinib,doses3,0.03125,89.8435542958921,GDSC
MEG-01,lapatinib,doses4,0.0625,91.6013574100828,GDSC
MEG-01,lapatinib,doses5,0.125,95.2412940588259,GDSC
MEG-01,lapatinib,doses6,0.25,92.6229935616064,GDSC
MEG-01,lapatinib,doses7,0.5,90.0308678897263,GDSC
MEG-01,lapatinib,doses8,1,96.4244779604903,GDSC
MEG-01,lapatinib,doses9,2,89.4807875759556,GDSC
MPP-89,lapatinib,doses1,0.0078125,89.0116850571706,GDSC
MPP-89,lapatinib,doses2,0.015625,105.988054982153,GDSC
MPP-89,lapatinib,doses3,0.03125,71.155995994,GDSC
MPP-89,lapatinib,doses4,0.0625,68.7583107563448,GDSC
MPP-89,lapatinib,doses5,0.125,91.3415252535033,GDSC
MPP-89,lapatinib,doses6,0.25,107.687439947331,GDSC
MPP-89,lapatinib,doses7,0.5,139.6063098904,GDSC
MPP-89,lapatinib,doses8,1,78.5469577663692,GDSC
MPP-89,lapatinib,doses9,2,76.6668502020346,GDSC
MSTO-211H,lapatinib,doses1,0.0078125,92.202571694711,GDSC
MSTO-211H,lapatinib,doses2,0.015625,102.395870123049,GDSC
MSTO-211H,lapatinib,doses3,0.03125,95.6526576004231,GDSC
MSTO-211H,lapatinib,doses4,0.0625,95.0360710236208,GDSC
MSTO-211H,lapatinib,doses5,0.125,99.6559426778458,GDSC
MSTO-211H,lapatinib,doses6,0.25,91.8785001561246,GDSC
MSTO-211H,lapatinib,doses7,0.5,90.3423845989643,GDSC
MSTO-211H,lapatinib,doses8,1,93.127863166441,GDSC
MSTO-211H,lapatinib,doses9,2,97.3007301328106,GDSC
NCI-H1092,lapatinib,doses1,0.0078125,102.947613768796,GDSC
NCI-H1092,lapatinib,doses2,0.015625,104.160700378045,GDSC
NCI-H1092,lapatinib,doses3,0.03125,105.458787413661,GDSC
NCI-H1092,lapatinib,doses4,0.0625,105.294357749922,GDSC
NCI-H1092,lapatinib,doses5,0.125,115.815946107274,GDSC
NCI-H1092,lapatinib,doses6,0.25,108.404832153719,GDSC
NCI-H1092,lapatinib,doses7,0.5,105.090611409568,GDSC
NCI-H1092,lapatinib,doses8,1,108.750723401836,GDSC
NCI-H1092,lapatinib,doses9,2,107.020948807595,GDSC
NCI-H1355,lapatinib,doses1,0.0078125,114.890417995396,GDSC
NCI-H1355,lapatinib,doses2,0.015625,97.172582696289,GDSC
NCI-H1355,lapatinib,doses3,0.03125,82.4064173565835,GDSC
NCI-H1355,lapatinib,doses4,0.0625,91.4919857444139,GDSC
NCI-H1355,lapatinib,doses5,0.125,92.1154923730842,GDSC
NCI-H1355,lapatinib,doses6,0.25,88.5654992003768,GDSC
NCI-H1355,lapatinib,doses7,0.5,99.6357812369896,GDSC
NCI-H1355,lapatinib,doses8,1,94.2652008121832,GDSC
NCI-H1355,lapatinib,doses9,2,71.47507830129,GDSC
NCI-H1581,lapatinib,doses1,0.0078125,111.425353266766,GDSC
NCI-H1581,lapatinib,doses2,0.015625,104.313467797588,GDSC
NCI-H1581,lapatinib,doses3,0.03125,102.261348016268,GDSC
NCI-H1581,lapatinib,doses4,0.0625,105.656780070043,GDSC
NCI-H1581,lapatinib,doses5,0.125,100.423521659725,GDSC
NCI-H1581,lapatinib,doses6,0.25,101.879185426242,GDSC
NCI-H1581,lapatinib,doses7,0.5,102.76507516217,GDSC
NCI-H1581,lapatinib,doses8,1,102.99731610996,GDSC
NCI-H1581,lapatinib,doses9,2,104.336201326738,GDSC
NCI-H1648,lapatinib,doses1,0.0078125,70.4647347195552,GDSC
NCI-H1648,lapatinib,doses2,0.015625,59.892325077594,GDSC
NCI-H1648,lapatinib,doses3,0.03125,51.2937807019334,GDSC
NCI-H1648,lapatinib,doses4,0.0625,29.0143731989476,GDSC
NCI-H1648,lapatinib,doses5,0.125,25.7535445427323,GDSC
NCI-H1648,lapatinib,doses6,0.25,17.6156316570077,GDSC
NCI-H1648,lapatinib,doses7,0.5,17.7402286993674,GDSC
NCI-H1648,lapatinib,doses8,1,9.5745376851513,GDSC
NCI-H1648,lapatinib,doses9,2,5.91025193939022,GDSC
NCI-H1666,lapatinib,doses1,0.0078125,97.8961746183328,GDSC
NCI-H1666,lapatinib,doses2,0.015625,98.4408301914225,GDSC
NCI-H1666,lapatinib,doses3,0.03125,97.6525949028584,GDSC
NCI-H1666,lapatinib,doses4,0.0625,100.060918531554,GDSC
NCI-H1666,lapatinib,doses5,0.125,100.69819104297,GDSC
NCI-H1666,lapatinib,doses6,0.25,99.7119764275258,GDSC
NCI-H1666,lapatinib,doses7,0.5,101.048832540362,GDSC
NCI-H1666,lapatinib,doses8,1,101.24751994781,GDSC
NCI-H1666,lapatinib,doses9,2,101.711171103893,GDSC
NCI-H1694,lapatinib,doses1,0.0078125,103.814544599643,GDSC
NCI-H1694,lapatinib,doses2,0.015625,106.944828948691,GDSC
NCI-H1694,lapatinib,doses3,0.03125,99.7216036445555,GDSC
NCI-H1694,lapatinib,doses4,0.0625,101.496441086228,GDSC
NCI-H1694,lapatinib,doses5,0.125,102.7996583391,GDSC
NCI-H1694,lapatinib,doses6,0.25,101.759142657017,GDSC
NCI-H1694,lapatinib,doses7,0.5,100.279431887628,GDSC
NCI-H1694,lapatinib,doses8,1,101.773122341494,GDSC
NCI-H1694,lapatinib,doses9,2,84.1765828311676,GDSC
NCI-H1975,lapatinib,doses1,0.0078125,98.6764866684998,GDSC
NCI-H1975,lapatinib,doses2,0.015625,92.4000995739358,GDSC
NCI-H1975,lapatinib,doses3,0.03125,88.4747372731016,GDSC
NCI-H1975,lapatinib,doses4,0.0625,91.4059483169277,GDSC
NCI-H1975,lapatinib,doses5,0.125,86.7896561861429,GDSC
NCI-H1975,lapatinib,doses6,0.25,84.4430780753518,GDSC
NCI-H1975,lapatinib,doses7,0.5,91.3536468556964,GDSC
NCI-H1975,lapatinib,doses8,1,84.1652662650867,GDSC
NCI-H1975,lapatinib,doses9,2,81.8332986839514,GDSC
NCI-H226,lapatinib,doses1,0.0078125,95.5232228737734,GDSC
NCI-H226,lapatinib,doses2,0.015625,94.3817884123631,GDSC
NCI-H226,lapatinib,doses3,0.03125,87.0139086663238,GDSC
NCI-H226,lapatinib,doses4,0.0625,88.5422618766083,GDSC
NCI-H226,lapatinib,doses5,0.125,89.8573508826131,GDSC
NCI-H226,lapatinib,doses6,0.25,88.1526863822674,GDSC
NCI-H226,lapatinib,doses7,0.5,87.4430938203497,GDSC
NCI-H226,lapatinib,doses8,1,92.9925520556065,GDSC
NCI-H226,lapatinib,doses9,2,96.9675263183848,GDSC
NCI-H23,lapatinib,doses1,0.0078125,101.41542838389,GDSC
NCI-H23,lapatinib,doses2,0.015625,94.5603300684609,GDSC
NCI-H23,lapatinib,doses3,0.03125,98.1928849825776,GDSC
NCI-H23,lapatinib,doses4,0.0625,91.1824235602789,GDSC
NCI-H23,lapatinib,doses5,0.125,99.0421420129114,GDSC
NCI-H23,lapatinib,doses6,0.25,87.5660484726765,GDSC
NCI-H23,lapatinib,doses7,0.5,97.1932291103271,GDSC
NCI-H23,lapatinib,doses8,1,102.3167182654,GDSC
NCI-H23,lapatinib,doses9,2,80.5399588088583,GDSC
NCI-H747,lapatinib,doses1,0.0078125,82.8262583316958,GDSC
NCI-H747,lapatinib,doses2,0.015625,78.0597349619655,GDSC
NCI-H747,lapatinib,doses3,0.03125,84.2430338458887,GDSC
NCI-H747,lapatinib,doses4,0.0625,84.1187511624706,GDSC
NCI-H747,lapatinib,doses5,0.125,69.7382090019619,GDSC
NCI-H747,lapatinib,doses6,0.25,82.3830305042784,GDSC
NCI-H747,lapatinib,doses7,0.5,94.2273114643504,GDSC
NCI-H747,lapatinib,doses8,1,81.2350633697513,GDSC
NCI-H747,lapatinib,doses9,2,70.3306702030291,GDSC
OCI-AML2,lapatinib,doses1,0.0078125,107.45669853738,GDSC
OCI-AML2,lapatinib,doses2,0.015625,103.139977841575,GDSC
OCI-AML2,lapatinib,doses3,0.03125,107.112661717453,GDSC
OCI-AML2,lapatinib,doses4,0.0625,109.318662321514,GDSC
OCI-AML2,lapatinib,doses5,0.125,109.478984620684,GDSC
OCI-AML2,lapatinib,doses6,0.25,112.620103546239,GDSC
OCI-AML2,lapatinib,doses7,0.5,111.917766356637,GDSC
OCI-AML2,lapatinib,doses8,1,111.226554735837,GDSC
OCI-AML2,lapatinib,doses9,2,112.157108721412,GDSC
ONS-76,lapatinib,doses1,0.0078125,96.1719602927318,GDSC
ONS-76,lapatinib,doses2,0.015625,94.2065426949269,GDSC
ONS-76,lapatinib,doses3,0.03125,88.8784019482181,GDSC
ONS-76,lapatinib,doses4,0.0625,90.3523898201269,GDSC
ONS-76,lapatinib,doses5,0.125,93.9189463286683,GDSC
ONS-76,lapatinib,doses6,0.25,93.061731386808,GDSC
ONS-76,lapatinib,doses7,0.5,98.4677596774434,GDSC
ONS-76,lapatinib,doses8,1,82.4306089259546,GDSC
ONS-76,lapatinib,doses9,2,95.2053713530172,GDSC
OPM-2,lapatinib,doses1,0.0078125,107.270060263476,GDSC
OPM-2,lapatinib,doses2,0.015625,102.614137648135,GDSC
OPM-2,lapatinib,doses3,0.03125,106.045032236449,GDSC
OPM-2,lapatinib,doses4,0.0625,106.832366168265,GDSC
OPM-2,lapatinib,doses5,0.125,105.015441710228,GDSC
OPM-2,lapatinib,doses6,0.25,104.199973368956,GDSC
OPM-2,lapatinib,doses7,0.5,107.400208753023,GDSC
OPM-2,lapatinib,doses8,1,101.029590526221,GDSC
OPM-2,lapatinib,doses9,2,99.9950603708588,GDSC
OVCAR-4,lapatinib,doses1,0.0078125,154.722102848448,GDSC
OVCAR-4,lapatinib,doses2,0.015625,98.2762991287914,GDSC
OVCAR-4,lapatinib,doses3,0.03125,81.2806670786968,GDSC
OVCAR-4,lapatinib,doses4,0.0625,89.4896940700313,GDSC
OVCAR-4,lapatinib,doses5,0.125,119.320276532217,GDSC
OVCAR-4,lapatinib,doses6,0.25,107.4168694619,GDSC
OVCAR-4,lapatinib,doses7,0.5,154.99870445505,GDSC
OVCAR-4,lapatinib,doses8,1,69.7524208081393,GDSC
OVCAR-4,lapatinib,doses9,2,70.3469552958929,GDSC
P31-FUJ,lapatinib,doses1,0.0078125,100.107143703746,GDSC
P31-FUJ,lapatinib,doses2,0.015625,97.1837399278858,GDSC
P31-FUJ,lapatinib,doses3,0.03125,93.2311260579948,GDSC
P31-FUJ,lapatinib,doses4,0.0625,97.4564476428594,GDSC
P31-FUJ,lapatinib,doses5,0.125,97.4432636650467,GDSC
P31-FUJ,lapatinib,doses6,0.25,98.5904130388585,GDSC
P31-FUJ,lapatinib,doses7,0.5,98.378752873322,GDSC
P31-FUJ,lapatinib,doses8,1,97.067376993278,GDSC
P31-FUJ,lapatinib,doses9,2,103.973775109641,GDSC
Raji,lapatinib,doses1,0.0078125,108.58377454929,GDSC
Raji,lapatinib,doses2,0.015625,103.981538648468,GDSC
Raji,lapatinib,doses3,0.03125,98.7205438713283,GDSC
Raji,lapatinib,doses4,0.0625,102.201425773795,GDSC
Raji,lapatinib,doses5,0.125,99.3670059152887,GDSC
Raji,lapatinib,doses6,0.25,97.3924859766704,GDSC
Raji,lapatinib,doses7,0.5,101.143312627566,GDSC
Raji,lapatinib,doses8,1,98.6414928061701,GDSC
Raji,lapatinib,doses9,2,96.2661546890274,GDSC
REH,lapatinib,doses1,0.0078125,92.5206294195112,GDSC
REH,lapatinib,doses2,0.015625,89.2059766202789,GDSC
REH,lapatinib,doses3,0.03125,73.3168102369557,GDSC
REH,lapatinib,doses4,0.0625,77.1138315921373,GDSC
REH,lapatinib,doses5,0.125,78.1852324250808,GDSC
REH,lapatinib,doses6,0.25,77.2726880465869,GDSC
REH,lapatinib,doses7,0.5,82.8523397843598,GDSC
REH,lapatinib,doses8,1,94.6510042441115,GDSC
REH,lapatinib,doses9,2,98.2713573389991,GDSC
RKO,lapatinib,doses1,0.0078125,88.9840838488559,GDSC
RKO,lapatinib,doses2,0.015625,117.419323853219,GDSC
RKO,lapatinib,doses3,0.03125,96.1647607818527,GDSC
RKO,lapatinib,doses4,0.0625,95.4964092537758,GDSC
RKO,lapatinib,doses5,0.125,110.382599557038,GDSC
RKO,lapatinib,doses6,0.25,108.170038778248,GDSC
RKO,lapatinib,doses7,0.5,96.278850903585,GDSC
RKO,lapatinib,doses8,1,89.4385847652486,GDSC
RKO,lapatinib,doses9,2,82.1438177105195,GDSC
RL95-2,lapatinib,doses1,0.0078125,89.2249088050461,GDSC
RL95-2,lapatinib,doses2,0.015625,76.6462019761531,GDSC
RL95-2,lapatinib,doses3,0.03125,83.0537976753793,GDSC
RL95-2,lapatinib,doses4,0.0625,71.2047425255182,GDSC
RL95-2,lapatinib,doses5,0.125,83.9772236324932,GDSC
RL95-2,lapatinib,doses6,0.25,73.7172858793241,GDSC
RL95-2,lapatinib,doses7,0.5,72.4332419931846,GDSC
RL95-2,lapatinib,doses8,1,71.578825768113,GDSC
RL95-2,lapatinib,doses9,2,49.2813184751137,GDSC
RPMI-8402,lapatinib,doses1,0.0078125,107.343603569772,GDSC
RPMI-8402,lapatinib,doses2,0.015625,100.015871826371,GDSC
RPMI-8402,lapatinib,doses3,0.03125,98.2850428455111,GDSC
RPMI-8402,lapatinib,doses4,0.0625,99.1188820845392,GDSC
RPMI-8402,lapatinib,doses5,0.125,99.3692106776554,GDSC
RPMI-8402,lapatinib,doses6,0.25,102.016732357223,GDSC
RPMI-8402,lapatinib,doses7,0.5,95.7133017693087,GDSC
RPMI-8402,lapatinib,doses8,1,89.7721024654798,GDSC
RPMI-8402,lapatinib,doses9,2,86.5504164144155,GDSC
SF126,lapatinib,doses1,0.0078125,82.5776580315742,GDSC
SF126,lapatinib,doses2,0.015625,89.8347321821986,GDSC
SF126,lapatinib,doses3,0.03125,102.203892018436,GDSC
SF126,lapatinib,doses4,0.0625,95.9143495701814,GDSC
SF126,lapatinib,doses5,0.125,98.5272715494301,GDSC
SF126,lapatinib,doses6,0.25,101.114392683282,GDSC
SF126,lapatinib,doses7,0.5,103.303946244888,GDSC
SF126,lapatinib,doses8,1,93.7640836595204,GDSC
SF126,lapatinib,doses9,2,102.957980363434,GDSC
SHP-77,lapatinib,doses1,0.0078125,93.0441192299147,GDSC
SHP-77,lapatinib,doses2,0.015625,93.447207916343,GDSC
SHP-77,lapatinib,doses3,0.03125,92.8258625331446,GDSC
SHP-77,lapatinib,doses4,0.0625,92.473907007927,GDSC
SHP-77,lapatinib,doses5,0.125,89.8171961817253,GDSC
SHP-77,lapatinib,doses6,0.25,94.206015174485,GDSC
SHP-77,lapatinib,doses7,0.5,93.5921958842786,GDSC
SHP-77,lapatinib,doses8,1,88.2028492349256,GDSC
SHP-77,lapatinib,doses9,2,93.3611005582867,GDSC
SIMA,lapatinib,doses1,0.0078125,100.90180148222,GDSC
SIMA,lapatinib,doses2,0.015625,98.619561619615,GDSC
SIMA,lapatinib,doses3,0.03125,94.8366161569919,GDSC
SIMA,lapatinib,doses4,0.0625,89.6142857422039,GDSC
SIMA,lapatinib,doses5,0.125,92.1310379974495,GDSC
SIMA,lapatinib,doses6,0.25,92.8241524023659,GDSC
SIMA,lapatinib,doses7,0.5,97.3884584146919,GDSC
SIMA,lapatinib,doses8,1,96.4182719606923,GDSC
SIMA,lapatinib,doses9,2,101.28987606382,GDSC
SK-MEL-2,lapatinib,doses1,0.0078125,93.2070580049792,GDSC
SK-MEL-2,lapatinib,doses2,0.015625,91.9655617688827,GDSC
SK-MEL-2,lapatinib,doses3,0.03125,87.046656800131,GDSC
SK-MEL-2,lapatinib,doses4,0.0625,87.9686623345227,GDSC
SK-MEL-2,lapatinib,doses5,0.125,88.2195741121819,GDSC
SK-MEL-2,lapatinib,doses6,0.25,90.2419720250603,GDSC
SK-MEL-2,lapatinib,doses7,0.5,94.6649044181246,GDSC
SK-MEL-2,lapatinib,doses8,1,100.318311434492,GDSC
SK-MEL-2,lapatinib,doses9,2,106.479529055103,GDSC
SK-MM-2,lapatinib,doses1,0.0078125,111.596007973906,GDSC
SK-MM-2,lapatinib,doses2,0.015625,111.096002567562,GDSC
SK-MM-2,lapatinib,doses3,0.03125,107.307098490717,GDSC
SK-MM-2,lapatinib,doses4,0.0625,118.373343435304,GDSC
SK-MM-2,lapatinib,doses5,0.125,110.381764373039,GDSC
SK-MM-2,lapatinib,doses6,0.25,110.538765297228,GDSC
SK-MM-2,lapatinib,doses7,0.5,101.923822959614,GDSC
SK-MM-2,lapatinib,doses8,1,95.6503599223975,GDSC
SK-MM-2,lapatinib,doses9,2,98.0080806977108,GDSC
NCI-SNU-1,lapatinib,doses1,0.0078125,99.7773363946458,GDSC
NCI-SNU-1,lapatinib,doses2,0.015625,97.0965457649745,GDSC
NCI-SNU-1,lapatinib,doses3,0.03125,96.2711068493066,GDSC
NCI-SNU-1,lapatinib,doses4,0.0625,96.8277123635077,GDSC
NCI-SNU-1,lapatinib,doses5,0.125,99.851807259291,GDSC
NCI-SNU-1,lapatinib,doses6,0.25,98.8575249177467,GDSC
NCI-SNU-1,lapatinib,doses7,0.5,97.1368306508062,GDSC
NCI-SNU-1,lapatinib,doses8,1,99.1106295590082,GDSC
NCI-SNU-1,lapatinib,doses9,2,100.644023181464,GDSC
NCI-SNU-16,lapatinib,doses1,0.0078125,93.4875194083645,GDSC
NCI-SNU-16,lapatinib,doses2,0.015625,90.6173206224962,GDSC
NCI-SNU-16,lapatinib,doses3,0.03125,94.4838579662018,GDSC
NCI-SNU-16,lapatinib,doses4,0.0625,93.181860697403,GDSC
NCI-SNU-16,lapatinib,doses5,0.125,99.2469639620897,GDSC
NCI-SNU-16,lapatinib,doses6,0.25,94.3022313879524,GDSC
NCI-SNU-16,lapatinib,doses7,0.5,86.6630311117712,GDSC
NCI-SNU-16,lapatinib,doses8,1,94.3954255498257,GDSC
NCI-SNU-16,lapatinib,doses9,2,99.5805128966775,GDSC
SUP-T1,lapatinib,doses1,0.0078125,113.114878912767,GDSC
SUP-T1,lapatinib,doses2,0.015625,105.08149610374,GDSC
SUP-T1,lapatinib,doses3,0.03125,97.6286563006959,GDSC
SUP-T1,lapatinib,doses4,0.0625,100.230155164394,GDSC
SUP-T1,lapatinib,doses5,0.125,94.4818276953117,GDSC
SUP-T1,lapatinib,doses6,0.25,99.6662670807133,GDSC
SUP-T1,lapatinib,doses7,0.5,101.462619414802,GDSC
SUP-T1,lapatinib,doses8,1,107.134334241291,GDSC
SUP-T1,lapatinib,doses9,2,130.130975102081,GDSC
TE-9,lapatinib,doses1,0.0078125,98.7381908757451,GDSC
TE-9,lapatinib,doses2,0.015625,75.4756500623855,GDSC
TE-9,lapatinib,doses3,0.03125,69.2488673210709,GDSC
TE-9,lapatinib,doses4,0.0625,67.6942156931044,GDSC
TE-9,lapatinib,doses5,0.125,91.8970228930253,GDSC
TE-9,lapatinib,doses6,0.25,54.2162854638738,GDSC
TE-9,lapatinib,doses7,0.5,69.1087033876705,GDSC
TE-9,lapatinib,doses8,1,46.9709781398494,GDSC
TE-9,lapatinib,doses9,2,29.5684577754065,GDSC
U-87-MG,lapatinib,doses1,0.0078125,106.822120917314,GDSC
U-87-MG,lapatinib,doses2,0.015625,98.4728497904381,GDSC
U-87-MG,lapatinib,doses3,0.03125,95.5051979475118,GDSC
U-87-MG,lapatinib,doses4,0.0625,97.0112120936655,GDSC
U-87-MG,lapatinib,doses5,0.125,97.8645767855312,GDSC
U-87-MG,lapatinib,doses6,0.25,103.985184640766,GDSC
U-87-MG,lapatinib,doses7,0.5,95.0449083323824,GDSC
U-87-MG,lapatinib,doses8,1,93.6075941287853,GDSC
U-87-MG,lapatinib,doses9,2,95.9467343350785,GDSC
8-MG-BA,lapatinib,doses1,0.0078125,105.732933503746,GDSC
8-MG-BA,lapatinib,doses2,0.015625,97.5291614881805,GDSC
8-MG-BA,lapatinib,doses3,0.03125,98.8723770730913,GDSC
8-MG-BA,lapatinib,doses4,0.0625,99.3576836339962,GDSC
8-MG-BA,lapatinib,doses5,0.125,99.3959758696356,GDSC
8-MG-BA,lapatinib,doses6,0.25,91.416525745121,GDSC
8-MG-BA,lapatinib,doses7,0.5,104.193368370131,GDSC
8-MG-BA,lapatinib,doses8,1,101.635664290331,GDSC
8-MG-BA,lapatinib,doses9,2,93.0682518242612,GDSC
Calu-6,lapatinib,doses1,0.0078125,56.1034590748883,GDSC
Calu-6,lapatinib,doses2,0.015625,91.9389191999578,GDSC
Calu-6,lapatinib,doses3,0.03125,83.8058649235435,GDSC
Calu-6,lapatinib,doses4,0.0625,109.094175424079,GDSC
Calu-6,lapatinib,doses5,0.125,116.993328763877,GDSC
Calu-6,lapatinib,doses6,0.25,106.468326803087,GDSC
Calu-6,lapatinib,doses7,0.5,109.957934310103,GDSC
Calu-6,lapatinib,doses8,1,105.030889407395,GDSC
Calu-6,lapatinib,doses9,2,91.1194556414216,GDSC
GI-1,lapatinib,doses1,0.0078125,100.676980726286,GDSC
GI-1,lapatinib,doses2,0.015625,105.609993622805,GDSC
GI-1,lapatinib,doses3,0.03125,85.5547228836693,GDSC
GI-1,lapatinib,doses4,0.0625,93.4069833901367,GDSC
GI-1,lapatinib,doses5,0.125,109.477987692625,GDSC
GI-1,lapatinib,doses6,0.25,98.2967321501617,GDSC
GI-1,lapatinib,doses7,0.5,88.5037145874573,GDSC
GI-1,lapatinib,doses8,1,88.6198066870501,GDSC
GI-1,lapatinib,doses9,2,60.9716799931769,GDSC
HD-MY-Z,lapatinib,doses1,0.0078125,101.868568922484,GDSC
HD-MY-Z,lapatinib,doses2,0.015625,100.902320381441,GDSC
HD-MY-Z,lapatinib,doses3,0.03125,97.514830429804,GDSC
HD-MY-Z,lapatinib,doses4,0.0625,102.119665084687,GDSC
HD-MY-Z,lapatinib,doses5,0.125,105.128804703989,GDSC
HD-MY-Z,lapatinib,doses6,0.25,97.6456974943574,GDSC
HD-MY-Z,lapatinib,doses7,0.5,105.41201548326,GDSC
HD-MY-Z,lapatinib,doses8,1,98.8339383258851,GDSC
HD-MY-Z,lapatinib,doses9,2,87.7720584767034,GDSC
LOXIMVI,lapatinib,doses1,0.0078125,104.901195466304,GDSC
LOXIMVI,lapatinib,doses2,0.015625,102.761573414114,GDSC
LOXIMVI,lapatinib,doses3,0.03125,101.46226497318,GDSC
LOXIMVI,lapatinib,doses4,0.0625,102.124768733646,GDSC
LOXIMVI,lapatinib,doses5,0.125,100.793510085148,GDSC
